number,value,datetime_start,datetime_complete,duration,params_atr_period,params_ev_ebitda_max,params_fcf_margin_min,params_revenue_growth_min,params_roe_min,params_rsi_high,params_rsi_low,params_rsi_period,params_sma_fast,params_sma_slow,params_volchg_window,system_attrs_fixed_params,state
33,0.0,2025-07-04 23:06:32.134040,2025-07-04 23:06:32.152336,0 days 00:00:00.018296,14,12,0.1,0.2,15,70,30,21,50,100,5,,COMPLETE
34,0.0,2025-07-04 23:06:32.153384,2025-07-04 23:06:32.171941,0 days 00:00:00.018557,14,10,0.05,0.2,15,70,30,21,10,100,5,,COMPLETE
35,0.0,2025-07-04 23:06:32.172782,2025-07-04 23:06:32.191943,0 days 00:00:00.019161,14,12,0.1,0.2,15,70,30,28,20,100,5,,COMPLETE
36,0.0,2025-07-04 23:06:32.192767,2025-07-04 23:06:32.210640,0 days 00:00:00.017873,14,10,0.05,0.1,20,70,30,14,40,200,5,,COMPLETE
37,0.0,2025-07-04 23:06:32.211478,2025-07-04 23:06:32.228449,0 days 00:00:00.016971,14,10,0.1,0.15,10,70,30,21,50,100,10,,COMPLETE
38,0.0,2025-07-04 23:06:32.229289,2025-07-04 23:06:32.246079,0 days 00:00:00.016790,14,14,0.05,0.2,20,70,30,28,10,200,5,,COMPLETE
39,0.0,2025-07-04 23:06:32.247042,2025-07-04 23:06:32.265859,0 days 00:00:00.018817,14,10,0.05,0.1,10,70,30,14,40,150,5,,COMPLETE
40,0.0,2025-07-04 23:06:32.267304,2025-07-04 23:06:32.283809,0 days 00:00:00.016505,14,12,0.1,0.1,15,70,30,28,20,200,5,,COMPLETE
41,0.0,2025-07-04 23:06:32.284982,2025-07-04 23:06:32.302598,0 days 00:00:00.017616,14,12,0.1,0.2,20,70,30,28,20,100,10,,COMPLETE
42,0.0,2025-07-04 23:06:32.303442,2025-07-04 23:06:32.323306,0 days 00:00:00.019864,14,12,0.1,0.2,20,70,30,28,20,100,10,,COMPLETE
43,0.0,2025-07-04 23:06:32.324169,2025-07-04 23:06:32.341259,0 days 00:00:00.017090,14,12,0.1,0.2,20,70,30,28,20,100,10,,COMPLETE
44,0.0,2025-07-04 23:06:32.342086,2025-07-04 23:06:32.358841,0 days 00:00:00.016755,14,10,0.1,0.2,10,70,30,28,20,100,10,,COMPLETE
