number,value,datetime_start,datetime_complete,duration,params_atr_period,params_ev_ebitda_max,params_fcf_margin_min,params_revenue_growth_min,params_roe_min,params_rsi_high,params_rsi_low,params_rsi_period,params_sma_fast,params_sma_slow,params_volchg_window,system_attrs_fixed_params,state
33,0.0,2025-07-04 23:12:22.619873,2025-07-04 23:12:22.638746,0 days 00:00:00.018873,14,12,0.1,0.2,15,70,30,21,50,100,5,,COMPLETE
34,0.0,2025-07-04 23:12:22.639656,2025-07-04 23:12:22.659342,0 days 00:00:00.019686,14,10,0.05,0.2,15,70,30,21,10,100,5,,COMPLETE
35,0.0,2025-07-04 23:12:22.660218,2025-07-04 23:12:22.677483,0 days 00:00:00.017265,14,12,0.1,0.2,15,70,30,28,20,100,5,,COMPLETE
36,0.0,2025-07-04 23:12:22.678502,2025-07-04 23:12:22.696630,0 days 00:00:00.018128,14,10,0.05,0.1,20,70,30,14,40,200,5,,COMPLETE
37,0.0,2025-07-04 23:12:22.697795,2025-07-04 23:12:22.719652,0 days 00:00:00.021857,14,10,0.1,0.15,10,70,30,21,50,100,10,,COMPLETE
38,0.0,2025-07-04 23:12:22.720847,2025-07-04 23:12:22.748009,0 days 00:00:00.027162,14,14,0.05,0.2,20,70,30,28,10,200,5,,COMPLETE
39,0.0,2025-07-04 23:12:22.750768,2025-07-04 23:12:22.776761,0 days 00:00:00.025993,14,10,0.05,0.1,10,70,30,14,40,150,5,,COMPLETE
40,0.0,2025-07-04 23:12:22.778055,2025-07-04 23:12:22.803385,0 days 00:00:00.025330,14,12,0.1,0.1,15,70,30,28,20,200,5,,COMPLETE
41,0.0,2025-07-04 23:12:22.804803,2025-07-04 23:12:22.828420,0 days 00:00:00.023617,14,12,0.1,0.2,20,70,30,28,20,100,10,,COMPLETE
42,0.0,2025-07-04 23:12:22.829291,2025-07-04 23:12:22.847340,0 days 00:00:00.018049,14,12,0.1,0.2,20,70,30,28,20,100,10,,COMPLETE
43,0.0,2025-07-04 23:12:22.848517,2025-07-04 23:12:22.864249,0 days 00:00:00.015732,14,12,0.1,0.2,20,70,30,28,20,100,10,,COMPLETE
44,0.0,2025-07-04 23:12:22.865076,2025-07-04 23:12:22.882902,0 days 00:00:00.017826,14,10,0.1,0.2,10,70,30,28,20,100,10,,COMPLETE
45,0.0,2025-07-04 23:12:22.883751,2025-07-04 23:12:22.902184,0 days 00:00:00.018433,14,12,0.1,0.1,20,70,30,14,30,100,10,,COMPLETE
46,0.0,2025-07-04 23:12:22.903041,2025-07-04 23:12:22.920429,0 days 00:00:00.017388,14,10,0.05,0.1,20,70,30,28,10,250,5,,COMPLETE
47,0.0,2025-07-04 23:12:22.921717,2025-07-04 23:12:22.941032,0 days 00:00:00.019315,14,14,0.1,0.2,10,70,30,14,50,200,5,,COMPLETE
48,0.0,2025-07-04 23:12:22.941959,2025-07-04 23:12:22.961525,0 days 00:00:00.019566,14,10,0.05,0.1,20,70,30,21,20,150,10,,COMPLETE
49,0.0,2025-07-04 23:12:22.962378,2025-07-04 23:12:22.982428,0 days 00:00:00.020050,14,10,0.1,0.15,10,70,30,28,10,100,5,,COMPLETE
50,0.0,2025-07-04 23:12:22.983295,2025-07-04 23:12:23.000533,0 days 00:00:00.017238,14,12,0.05,0.1,20,70,30,14,40,250,10,,COMPLETE
51,0.0,2025-07-04 23:12:23.001395,2025-07-04 23:12:23.018806,0 days 00:00:00.017411,14,12,0.1,0.15,15,70,30,21,50,200,5,,COMPLETE
52,0.0,2025-07-04 23:12:23.019644,2025-07-04 23:12:23.039403,0 days 00:00:00.019759,14,12,0.1,0.15,15,70,30,21,50,200,5,,COMPLETE
53,0.0,2025-07-04 23:12:23.040658,2025-07-04 23:12:23.058152,0 days 00:00:00.017494,14,12,0.1,0.15,15,70,30,21,50,200,5,,COMPLETE
54,0.0,2025-07-04 23:12:23.058985,2025-07-04 23:12:23.076105,0 days 00:00:00.017120,14,10,0.1,0.15,15,70,30,21,10,200,5,,COMPLETE
55,0.0,2025-07-04 23:12:23.076939,2025-07-04 23:12:23.093078,0 days 00:00:00.016139,14,14,0.05,0.15,20,70,30,14,30,200,5,,COMPLETE
56,0.0,2025-07-04 23:12:23.093995,2025-07-04 23:12:23.112900,0 days 00:00:00.018905,14,10,0.1,0.1,15,70,30,28,50,250,10,,COMPLETE
57,0.0,2025-07-04 23:12:23.113963,2025-07-04 23:12:23.136086,0 days 00:00:00.022123,14,12,0.05,0.15,10,70,30,14,10,100,5,,COMPLETE
58,0.0,2025-07-04 23:12:23.136963,2025-07-04 23:12:23.154505,0 days 00:00:00.017542,14,10,0.1,0.1,20,70,30,21,20,150,5,,COMPLETE
59,0.0,2025-07-04 23:12:23.155586,2025-07-04 23:12:23.176489,0 days 00:00:00.020903,14,10,0.05,0.2,20,70,30,28,10,250,10,,COMPLETE
